,IC objective only_IC_PBP
383,-2.0869452170787492
384,-1.2673196509114206
385,-1.3567685505078142
386,-0.9187962072528145
387,-1.3902394774002258
388,-2.563899052094722
389,-1.8800553269637217
390,-1.3819176740586097
391,-1.7752326162910335
392,-2.012418028421776
393,-2.0124130438669448
394,-1.8205953805656188
395,-0.9331405941372224
396,-1.5336225317522576
397,-1.1006484565429095
398,-1.0193949665269042
399,-1.8296568257735055
400,-1.2454834816932967
401,-1.0873337680108002
402,-1.4071830213001884
403,-1.8328387705853157
404,-1.7108825775794672
405,-1.9697323603428658
406,-1.4576925083456258
407,-1.5626461421471645
408,-1.7273344128835826
409,-1.0921949231957537
410,-1.8848960671017458
411,-1.0884878412759322
412,-1.4121824853882332
413,-1.2521090091898819
414,-0.6971598340545522
415,-1.1711815115672095
416,-1.5060150103095569
417,-1.6885707836352448
418,-1.5826563081460019
419,-1.9961126180362623
420,-2.160769803578558
421,-0.9534101665267696
422,-0.8566164087792623
423,-0.8581265984186637
424,-0.8212861333991811
425,-1.8899029557538687
426,-1.020931322040208
427,-1.2055678789552984
428,-0.6160687624069255
429,-1.4407089797669073
430,-1.3612727757075163
431,-1.6271235589838697
432,-2.3019939448662767
433,-1.3325806650558705
434,-1.4288174622054035
435,-0.6993512612821832
436,-0.7360970625460541
437,-1.5580605431835521
438,-1.0530387200247426
439,-2.0833029446256046
440,-1.8045279120590612
441,-1.8393301314786672
442,-1.1005543028107263
443,-0.8660707472442601
444,-1.5365860265573155
445,-1.3255520613010352
446,-1.0382072362769672
447,-1.471972658205617
448,-1.683554882336078
449,-1.2132507714542298
450,-0.8446839498466453
451,-1.5091373170138833
452,-1.217072174541185
453,-1.6439788630995293
454,-1.6244030445874582
455,-0.7824567465152952
456,-1.3769789513578226
457,-1.9583027969530353
458,-1.1941047373299927
459,-1.3071378698337501
460,-0.7910652556885445
461,-1.8748176398285612
462,-1.43397281535264
463,-1.6533573061226916
464,-1.5871612350569169
465,-1.0646239831983741
466,-1.5044396092320216
467,-1.59891633339186
468,-1.1029863948685086
469,-1.1343726094725717
470,-1.7420726018334738
471,-1.922887602759499
472,-2.001454206780724
473,-1.3986168357429087
474,-2.112530544285483
475,-1.2043882219654112
476,-1.2258126533327502
477,-1.0014546644391058
478,-1.1927545892600877
479,-1.6536777599830996
480,-1.085145926647994
481,-1.138639165506513
482,-1.5132095621343506
483,-0.9738380030362687
484,-2.043766425199112
485,-1.3559836957954559
486,-1.5651358021686983
487,-1.4772498655914579
488,-1.66387754938308
489,-1.5295280662732427
490,-0.9234114299124421
491,-1.3860726550422449
492,-1.417188889934001
493,-2.273777273444478
494,-1.830101173962185
495,-3.0123719812296352
496,-1.402402016720673
497,-1.9103109961708271
498,-1.9984014483688057
499,-1.0338747176657719
500,-1.538223750085602
501,-1.6027400873300286
502,-1.8975631876430774
503,-1.5713240383755334
504,-3.0712127898159025
505,-2.2457051046545033
506,-2.016284306707579
507,-1.2814204167964396
508,-1.2275563066709378
509,-2.1020571379188073
510,-1.1887285842058057
511,-1.0574985237917476
512,-1.751386035150998
513,-0.8828229929538844
514,-1.1052676759622646
515,-1.213367490746147
516,-1.9512606019134113
517,-1.976359046148514
518,-1.1792548893900234
519,-1.374461662601481
520,-1.0452688506524235
521,-0.9797094481066376
522,-1.3534928670616715
523,-1.1979828005164732
524,-1.4767756768198417
525,-0.8438738957055508
526,-1.4493689224449875
527,-0.914418103427305
528,-1.1977710333020675
529,-2.1649125433045655
530,-1.5394064101025753
531,-1.1932800981501133
532,-1.921210097077521
533,-1.447782250247069
534,-1.4733520031011011
535,-1.3102666256332656
536,-1.6109708904333988
537,-1.8645295238207968
538,-2.2217087651140184
539,-1.586627488044283
540,-1.238907011606839
541,-0.8097119625364039
542,-1.303587568638027
543,-1.3775492375105927
544,-1.0934788745434152
545,-1.7585662366312365
546,-1.5858548276924103
547,-2.04411512631993
548,-1.7449111628139398
549,-0.6889310850502804
550,-1.878301656262462
551,-2.035595665519101
552,-1.7462251242567768
553,-0.45191118224007015
554,-1.9551907446585817
555,-1.5298430654792374
556,-1.4189623080136033
557,-1.1553082565583266
558,-1.1784206291672858
559,-1.549140317660541
560,-0.9574340864305506
561,-1.4750490994605157
562,-1.1560419581758417
563,-1.3317827969492493
564,-1.3790197383586174
565,-2.136571197848892
566,-1.2204415115440224
567,-0.9756915763779557
568,-1.7678439131537171
569,-1.1332461700695333
